image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
,O'Brate Stadium,Stillwater,OK,Oklahoma State,Big 12,"3,500[13]",2021[a],,36.1310616,-97.0687453,278.1031494
,UFCU Disch–Falk Field,Austin,TX,Texas,Big 12,7373,1975,[14],30.2799584,-97.7261606,176.8224335
,Lupton Stadium,Fort Worth,TX,TCU,Big 12,4500,2003,,32.7027992,-97.3721802,203.692215
,Dan Law Field at Rip Griffin Park,Lubbock,TX,Texas Tech,Big 12,4368,1926(Renovated 2012),,33.5884529,-101.8765955,980.9846802
,John Euliano Park,Orlando,FL,UCF,Big 12,3600,2001,,28.6090475,-81.1953991,22.03911781
,Monongalia County Ballpark,Granville,WV,West Virginia,Big 12,3500,2015,,39.6436986,-79.9958649,349.5673218
,Robin Baggett Stadium,San Luis Obispo,CA,Cal Poly,Big West,1534,2001,,35.3069122,-120.6651058,103.931282
,Hardt Field,Bakersfield,CA,Cal State Bakersfield,Big West,900,2009,,35.3473891,-119.1076226,113.7483826
,Goodwin Field,Fullerton,CA,Cal State Fullerton,Big West,3500,1992,,33.887139,-117.8853105,77.8183136
,Matador Field,Northridge,CA,Cal State Northridge,Big West,1200,1961,,34.2452183,-118.5270635,275.4429932
,Les Murakami Stadium,Honolulu,HI,"University of Hawaii, Manoa",Big West,4312,1984,,21.2932221,-157.8160896,4.091464043
,Blair Field,Long Beach,CA,Long Beach State,Big West,3283,1958,,33.7783672,-118.1388338,9.692743301
,Dobbins Stadium,Davis,CA,UC Davis,Big West,3500,1986,,38.5452508,-121.7482471,13.71647739
,Cicerone Field at Anteater Ballpark,Irvine,CA,UC Irvine,Big West,2900,2002,,33.651237,-117.8479574,17.50639343
,Riverside Sports Complex,Riverside,CA,UC Riverside,Big West,2500,—,,33.9822596,-117.3329542,312.0978394
,Triton Ballpark,La Jolla,CA,UC San Diego,Big West,1200,—,,32.8809124,-117.2261784,97.98009491
,Caesar Uyesaka Stadium,Santa Barbara,CA,UC Santa Barbara,Big West,1000,1964,,34.4190504,-119.8523306,12.95749187
,Jim Perry Stadium,Buies Creek,NC,Campbell,Colonial Athletic,630,2013,,35.409888,-78.7351627,60.51202774
,CofC Baseball Stadium at Patriot's Point,Mount Pleasant,SC,Charleston,Colonial Athletic,2000,2001,,32.7952232,-79.9022674,6.441978455
,Bob Hannah Stadium,Newark,DE,Delaware,Colonial Athletic,1300,2000,,39.6634961,-75.7475911,28.78072548
,Walter C. Latham Park,Elon,NC,Elon,Colonial Athletic,2000,2001,,36.1085926,-79.5073424,209.4953918
,University Field,Hempstead,NY,Hofstra,Colonial Athletic,400,2000,,40.7206766,-73.5986101,24.46110535
,Monmouth Baseball Field,West Long Branch,NJ,Monmouth,Colonial Athletic,—,—,,40.2785644,-74.0093541,8.556833267
,World War Memorial Stadium,Greensboro,NC,North Carolina A&T,Colonial Athletic,7500,1928,,36.0796511,-79.7783344,235.8069916
,Parsons Field,Brookline,MA,Northeastern,Colonial Athletic,3000,1933,,42.3373586,-71.114047,3.30462718
,Joe Nathan Field,Stony Brook,NY,Stony Brook,Colonial Athletic,1000,1967(Renovated 2011),[15],40.9235662,-73.1223379,34.13159943
,John B. Schuerholz Baseball Complex,Towson,MD,Towson,Colonial Athletic,500,2001,,39.3949845,-76.6137818,104.9644089
,Brooks Field,Wilmington,NC,UNC Wilmington,Colonial Athletic,3000,1989,,34.2215559,-77.8733336,10.80797005
,Plumeri Park,Williamsburg,VA,William & Mary,Colonial Athletic,1000,1999,,37.2898694,-76.7326011,30.81233788
,Horner Ballpark,Dallas,TX,Dallas Baptist,Conference USA,2000,2013,[16],32.711911,-96.945362,145.1258698
,FIU Baseball Stadium,Miami,FL,Florida International University,Conference USA,2000,1996,,25.7525026,-80.3778939,1.718752861
,Rudy Abbott Field,Jacksonville,AL,Jacksonville State,Conference USA,1500,1995,[17],33.8255285,-85.7769948,196.5557098
,Liberty Baseball Stadium,Lynchburg,VA,Liberty,Conference USA,2500,2013,,37.3566079,-79.1770343,266.7917175
,J. C. Love Field at Pat Patterson Park,Ruston,LA,Louisiana Tech,Conference USA,3000,1971,,32.5299525,-92.6511967,82.16394806
,Reese Smith Jr. Field,Murfreesboro,TN,Middle Tennessee,Conference USA,2600,1979,,35.8512666,-86.3665035,190.0538025
,Presley Askew Field,Las Cruces,NM,New Mexico State,Conference USA,1000,1982,,32.2790299,-106.7442164,1210.223267
,Don Sanders Stadium,Huntsville,TX,Sam Houston,Conference USA,1164,2006,,30.7134961,-95.5398989,133.0574951
,Nick Denes Field,Bowling Green,KY,Western Kentucky,Conference USA,1500,1968,,36.983269,-86.4609476,148.5089417
,Routine Field,Franklin,WI,Milwaukee,Horizon,4000,2019,,42.917746,-88.0153853,246.5710907
,Bill Aker Baseball Complex,Highland Heights,KY,Northern Kentucky,Horizon,500,2001,,39.0283938,-84.4646546,265.8326416
,Oakland Baseball Field,Rochester,MI,Oakland,Horizon,500,—,,42.6736629,-83.2107222,258.5016174
,Mastodon Field,Fort Wayne,IN,Purdue Fort Wayne,Horizon,200,—,,41.1188415,-85.1032027,238.2637024
,Nischwitz Stadium,Dayton,OH,Wright State,Horizon,750,1993,,39.7853674,-84.0475271,268.9074707
,Eastwood Field,Niles,OH,Youngstown State,Horizon,6000,1999,,41.2186447,-80.755027,265.255249
,Murray Stadium,Providence,RI,Brown,Ivy,1000,1959,,41.8309152,-71.3938315,33.28467941
,Robertson Field at Satow Stadium,New York,NY,Columbia,Ivy,360,1921,,40.8738988,-73.9152232,6.459773064
,Hoy Field,Ithaca,NY,Cornell,Ivy,500,1922,,42.4441242,-76.4807209,248.9495392
,Red Rolfe Field at Biondi Park,Hanover,NH,Dartmouth,Ivy,"2,000[18]",2008(@ pre-existing field),,43.7018824,-72.2827135,152.0080261
,Joseph J. O'Donnell Field,Allston,MA,Harvard,Ivy,1600,1898,,42.3672034,-71.1285889,2.073992252
,Meiklejohn Stadium,Philadelphia,PA,Pennsylvania,Ivy,850,1999,,39.9439966,-75.194052,7.216409206
,Bill Clarke Field,Princeton,NJ,Princeton,Ivy,850,1961,,40.3463317,-74.6482774,35.13656616
,Yale Field,West Haven,CT,Yale,Ivy,6200,1928,,41.3090073,-72.9592516,12.64912987
,Demske Sports Complex,Buffalo,NY,Canisius,Metro Atlantic,1200,1989,,42.9210419,-78.8577028,189.7103424
,Alumni Baseball Diamond,Fairfield,CT,Fairfield,Metro Atlantic,1000,2001,,41.1637788,-73.2585124,39.55319214
,City Park,New Rochelle,NY,Iona,Metro Atlantic,—,—,,40.9300124,-73.7707671,5.791893959
,Van Cortlandt Park,Bronx,NY,Manhattan,Metro Atlantic,3000,1888,,40.8972233,-73.8860668,14.91177559
,James J. McCann Baseball Field,Poughkeepsie,NY,Marist,Metro Atlantic,350,1992,,41.7179485,-73.9344524,22.56811142
,Straw Family Stadium,Emmitsburg,MD,Mount St. Mary's,Metro Atlantic,500,2007,,39.6786527,-77.3445746,151.8241882
,Bobo Field,Lewiston,NY,Niagara,Metro Atlantic,—,—,,43.1365922,-79.0298831,184.8818207
,Quinnipiac Baseball Field,Hamden,CT,Quinnipiac,Metro Atlantic,—,—,,41.4205126,-72.8912196,32.26938248
,Sonny Pittaro Field,Lawrenceville,NJ,Rider,Metro Atlantic,2000,—,,40.2824299,-74.7465084,35.83496475
,Siena Baseball Field,Loudonville,NY,Siena,Metro Atlantic,500,1950s,,42.7187596,-73.7499211,91.9758606
,Joseph J. Jaroschak Field,Jersey City,NJ,Saint Peter's,Metro Atlantic,500,1990,,40.7265603,-74.0935298,2.48024869
,Lee R. Jackson Field,Akron,OH,Akron,Mid-American,1500,1967,,41.0742244,-81.512838,318.1704712
