game_info,year,n_venue
IVY LEAGUE CHAMPIONSHIP SERIES ,2017,
IVY LEAGUE CHAMPIONSHIP SERIES ,2018,
IVY LEAGUE CHAMPIONSHIP SERIES - GAME 1,2019,
IVY LEAGUE CHAMPIONSHIP SERIES - GAME 2,2019,
Jerry Bryson Classic,2022,
Kansas State vs Baylor,2021,
Kansas State vs CSU Bakersfield,2022,
Kansas State vs Kansas,2021,
Kansas State vs Oklahoma State,2021,
Kansas vs Charleston Southern,2022,
Keith LeClair Classic,2022,Lewis Field at Clark LeClair Stadium
Keith LeClair Classic ,2016,Lewis Field at Clark LeClair Stadium
KLEBERG BANK COLLEGE CLASSIC,2020,Whataburger Field
Kleberg Bank College Classic,2022,Whataburger Field
LECLAIR CLASSIC,2019,Lewis Field at Clark LeClair Stadium
LECLAIR CLASSIC,2020,Lewis Field at Clark LeClair Stadium
LECLAIR CLASSIC ,2017,Lewis Field at Clark LeClair Stadium
Liberty vs TCU,2021,
Long Beach State vs UC Irvine,2021,
MAAC CHAMPIONSHIP,2019,
MAAC Championship,2022,Clover Stadium  Pomona New York
MAAC CHAMPIONSHIP ,2017,
MAAC CHAMPIONSHIP ,2018,
MAAC Tournament,2021,
MAAC Tournament,2022,
MAAC TOURNAMENT,2019,
MAAC TOURNAMENT ,2017,
MAAC TOURNAMENT ,2018,
MAAC Tournament If Necessary,2021,
MAC CHAMPIONSHIP,2019,Sprenger Stadium Avon Ohio
MAC Championship,2022,First Merchants Ballpark Muncie Ind
MAC CHAMPIONSHIP ,2017,Sprenger Stadium  Avon Ohio
MAC TOURNAMENT,2019,Sprenger Stadium Avon Ohio
MAC Tournament,2022,First Merchants Ballpark Muncie Ind
MAC TOURNAMENT ,2017,Sprenger Stadium  Avon Ohio
MAC TOURNAMENT ,2018,Sprenger Stadium  Avon Ohio
MAC TOURNAMENT ,2016,All Pro Freight Stadium  Avon Ohio
Maryland vs Baylor,2022,
Maryland vs Campbell,2022,
Maryland vs East Carolina,2022,
MEAC CHAMPIONSHIP,2019,Jackie Robinson Ballpark    of Bethune Cookman University  Daytona Beach FL
MEAC Championship,2022,Marty L Miller Field    of Norfolk State University  Norfolk Virginia
MEAC Championship,2021,Marty L Miller Field    of Norfolk State University  Norfolk Virginia
MEAC CHAMPIONSHIP ,2016,Arthur W Perdue Stadium  Salisbury MD
MEAC CHAMPIONSHIP ,2017,Arthur W Perdue Stadium  Salisbury MD
MEAC CHAMPIONSHIP ,2018,Sliwa Stadium    of Embry Riddle Aeronautical University  Daytona Beach Florida
MEAC TOURNAMENT,2019,Jackie Robinson Ballpark    of Bethune Cookman University  Daytona Beach FL
MEAC Tournament,2021,Marty L Miller Field    of Norfolk State University  Norfolk Virginia
MEAC Tournament,2022,Marty L Miller Field    of Norfolk State University  Norfolk Virginia
MEAC TOURNAMENT ,2016,Arthur W Perdue Stadium  Salisbury MD
MEAC TOURNAMENT ,2018,Sliwa Stadium    of Embry Riddle Aeronautical University  Daytona Beach Florida
MEAC TOURNAMENT ,2017,Arthur W Perdue Stadium  Salisbury MD
Memphis vs East Carolina,2021,
Miami (OH) vs West Virginia,2021,
Michigan vs Minnesota,2021,
Missouri State vs Kansas,2021,
Missouri State vs Oklahoma State,2021,
MISSOURI VALLEY CHAMPIONSHIP,2019,Duffy Bass Field Normal IL
Missouri Valley Championship,2022,Missouri State s Hammons Field  Springfield Missouri
Missouri Valley Championship,2021,Southern Illinois University s Itchy Jones Stadium  Carbondale Illinois
MISSOURI VALLEY CHAMPIONSHIP ,2018,Horner Ballpark Dallas TX
Missouri Valley Tournament,2022,Missouri State s Hammons Field  Springfield Missouri
Missouri Valley Tournament,2021,Southern Illinois University s Itchy Jones Stadium  Carbondale Illinois
MISSOURI VALLEY TOURNAMENT,2019,Duffy Bass Field Normal IL
MISSOURI VALLEY TOURNAMENT ,2018,Horner Ballpark Dallas TX
MISSOURI VALLEY TOURNAMENT ,2017,Missouri State s Hammons Field  Springfield Missouri
MOUNTAIN WEST CHAMPIONSHIP,2019,William Peccole Park  Reno Nevada
Mountain West Championship,2022,Tony Gwynn Stadium  San Diego California
MOUNTAIN WEST CHAMPIONSHIP ,2017,Santa Ana Star Field  Albuquerque New Mexico
MOUNTAIN WEST CHAMPIONSHIP ,2016,Santa Ana Star Field  Albuquerque New Mexico
MOUNTAIN WEST TOURNAMENT,2019,William Peccole Park  Reno Nevada
Mountain West Tournament,2022,Tony Gwynn Stadium  San Diego California
MOUNTAIN WEST TOURNAMENT ,2017,Santa Ana Star Field  Albuquerque New Mexico
MOUNTAIN WEST TOURNAMENT ,2018,Tony Gwynn Stadium  San Diego California
Music City College Classic,2022,
Nebraska vs Kansas State,2022,
Nebraska vs Sam Houston,2022,
NEC CHAMPIONSHIP,2019,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC Championship,2021,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC Championship,2022,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC CHAMPIONSHIP ,2016,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC CHAMPIONSHIP ,2017,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC Tournament,2022,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC TOURNAMENT,2019,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC Tournament,2021,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC TOURNAMENT ,2018,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC TOURNAMENT ,2016,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
NEC TOURNAMENT ,2017,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
New Mexico vs Kansas State,2021,
North Dakota State vs Long Beach State,2022,
ODU BASEBALL TOURNAMENT ,2017,
Ohio State vs Michigan,2021,
