date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,campus_site,year,team,latitude,longitude,elevation,place,n_venue
2018-04-08,Duke,Wake Forest,,7.0,6.0,0.0,4.0,7.0,1.0,Wake Forest,2018,Wake Forest,36.1298712,-80.2518555,289.337616,,
2018-04-08,Western Kentucky,Southern Miss,,1.0,3.0,1.0,14.0,15.0,3.0,Southern Miss,2018,Southern Miss,31.3335725,-89.3380978,66.2219162,,
2018-04-08,Clemson,Notre Dame,,5.0,8.0,0.0,2.0,7.0,1.0,Notre Dame,2018,Notre Dame,41.6962849,-86.2280772,225.9461365,,
2018-04-08,Purdue,Indiana,,5.0,12.0,1.0,7.0,14.0,2.0,Indiana,2018,Indiana,39.1848834,-86.5223836,243.0321198,,
2018-04-08,Oklahoma,TCU,,2.0,5.0,1.0,6.0,7.0,0.0,TCU,2018,TCU,32.7027992,-97.3721802,203.692215,,
2018-04-08,Florida,Tennessee,,4.0,10.0,1.0,6.0,5.0,0.0,Tennessee,2018,Tennessee,35.949736,-83.92927,275.5996094,,
2018-04-08,Clemson,Notre Dame,,6.0,7.0,0.0,3.0,10.0,0.0,Notre Dame,2018,Notre Dame,41.6962849,-86.2280772,225.9461365,,
2018-04-08,Florida,Tennessee,,6.0,13.0,3.0,4.0,11.0,1.0,Tennessee,2018,Tennessee,35.949736,-83.92927,275.5996094,,
2018-04-08,Florida State,Georgia Tech,,3.0,10.0,1.0,16.0,11.0,0.0,Georgia Tech,2018,Georgia Tech,33.777639,-84.3945457,275.0564575,,
2018-04-08,South Carolina,Kentucky,,5.0,5.0,0.0,10.0,13.0,2.0,Kentucky,2018,Kentucky,38.0186731,-84.5035386,315.9145508,,
2018-04-08,University of Mississippi,Mississippi State,,5.0,16.0,1.0,7.0,11.0,0.0,Mississippi State,2018,Mississippi State,33.4630609,-88.7940698,110.2767029,,
2018-04-08,Texas Tech,Kansas,,3.0,8.0,4.0,17.0,11.0,0.0,Kansas,2018,Kansas,38.9527426,-95.252621,274.7484741,,
2018-04-08,Baylor,Texas,,1.0,6.0,1.0,4.0,10.0,0.0,Texas,2018,Texas,30.2799584,-97.7261606,176.8224335,,
2018-04-08,Oregon State,Arizona,,5.0,8.0,1.0,6.0,6.0,2.0,Arizona,2018,Arizona,32.2129525,-110.9197125,758.5875244,,
2018-04-08,Stanford,UCLA,,2.0,5.0,1.0,7.0,8.0,1.0,UCLA,2018,UCLA,34.0592278,-118.4592393,110.9767609,,
2018-04-08,Auburn,Arkansas,,4.0,7.0,2.0,5.0,7.0,0.0,Arkansas,2018,Arkansas,36.0498883,-94.1822406,374.505188,,
2018-04-09,Duke,Wake Forest,,3.0,8.0,0.0,6.0,10.0,1.0,Wake Forest,2018,Wake Forest,36.1298712,-80.2518555,289.337616,,
2018-04-10,Florida,Florida State,,6.0,11.0,0.0,3.0,5.0,3.0,Florida State,2018,Florida State,30.4405434,-84.3040448,21.59014511,,
2018-04-10,Appalachian State,North Carolina,,1.0,7.0,3.0,4.0,6.0,0.0,North Carolina,2018,North Carolina,35.9063145,-79.0427441,125.8752213,,
2018-04-10,Indiana State,Indiana,,1.0,4.0,0.0,6.0,9.0,0.0,Indiana,2018,Indiana,39.1848834,-86.5223836,243.0321198,,
2018-04-10,Georgia,Clemson,,6.0,5.0,0.0,3.0,7.0,1.0,Clemson,2018,Clemson,34.6787794,-82.8493165,192.0006256,,
2018-04-10,Texas,Texas A&M,,5.0,12.0,1.0,6.0,9.0,0.0,Texas A&M,2018,Texas A&M,30.6060601,-96.3413557,103.0995331,,
2018-04-10,South Carolina,The Citadel,,12.0,13.0,1.0,1.0,3.0,1.0,The Citadel,2018,The Citadel,32.790528,-79.9613184,3.128093719,,
