game_info,year,n_venue
MAAC CHAMPIONSHIP ,2017,0
MAAC CHAMPIONSHIP ,2018,0
MAAC Tournament,2021,0
MAAC Tournament,2022,
MAAC TOURNAMENT,2019,0
MAAC TOURNAMENT ,2017,0
MAAC TOURNAMENT ,2018,0
MAAC Tournament If Necessary,2021,0
MAC CHAMPIONSHIP,2019,"Sprenger Stadium Avon, Ohio"
MAC Championship,2022,"First Merchants Ballpark | Muncie, Ind."
MAC CHAMPIONSHIP ,2017,"Sprenger StadiumÿinÿAvon, Ohio"
MAC TOURNAMENT,2019,"Sprenger Stadium Avon, Ohio"
MAC Tournament,2022,"First Merchants Ballpark | Muncie, Ind."
MAC TOURNAMENT ,2017,"Sprenger StadiumÿinÿAvon, Ohio"
MAC TOURNAMENT ,2018,"Sprenger StadiumÿinÿAvon, Ohio"
MAC TOURNAMENT ,2016,"All Pro Freight StadiumÿinÿAvon, Ohio."
Maryland vs Baylor,2022,0
Maryland vs Campbell,2022,0
Maryland vs East Carolina,2022,0
MEAC CHAMPIONSHIP,2019,"Jackie Robinson Ballparkÿon the campus ofÿBethune-Cookman UniversityÿinÿDaytona Beach, FL"
MEAC Championship,2022,"ÿMarty L. Miller Fieldÿon the campus ofÿNorfolk State UniversityÿinÿNorfolk,ÿVirginia"
MEAC Championship,2021,"ÿMarty L. Miller Fieldÿon the campus ofÿNorfolk State UniversityÿinÿNorfolk,ÿVirginia"
MEAC CHAMPIONSHIP ,2016,"Arthur W. Perdue Stadium, inÿSalisbury, MD"
MEAC CHAMPIONSHIP ,2017,"Arthur W. Perdue Stadium, inÿSalisbury, MD"
MEAC CHAMPIONSHIP ,2018,"Sliwa Stadiumÿon the campus ofÿEmbry-Riddle Aeronautical UniversityÿinÿDaytona Beach, Florida"
MEAC TOURNAMENT,2019,"Jackie Robinson Ballparkÿon the campus ofÿBethune-Cookman UniversityÿinÿDaytona Beach, FL"
MEAC Tournament,2021,"ÿMarty L. Miller Fieldÿon the campus ofÿNorfolk State UniversityÿinÿNorfolk,ÿVirginia"
MEAC Tournament,2022,"ÿMarty L. Miller Fieldÿon the campus ofÿNorfolk State UniversityÿinÿNorfolk,ÿVirginia"
MEAC TOURNAMENT ,2016,"Arthur W. Perdue Stadium, inÿSalisbury, MD"
MEAC TOURNAMENT ,2018,"Sliwa Stadiumÿon the campus ofÿEmbry-Riddle Aeronautical UniversityÿinÿDaytona Beach, Florida"
MEAC TOURNAMENT ,2017,"Arthur W. Perdue Stadium, inÿSalisbury, MD"
Memphis vs East Carolina,2021,0
Miami (OH) vs West Virginia,2021,0
Michigan vs Minnesota,2021,0
Missouri State vs Kansas,2021,0
Missouri State vs Oklahoma State,2021,0
MISSOURI VALLEY CHAMPIONSHIP,2019,Duffy Bass Field Normal IL
Missouri Valley Championship,2022,"Missouri State'sÿHammons FieldÿinÿSpringfield, Missouri."
Missouri Valley Championship,2021,"ÿSouthern Illinois University'sÿItchy Jones StadiumÿinÿCarbondale, Illinois."
MISSOURI VALLEY CHAMPIONSHIP ,2018,"Horner Ballpark , Dallas TX"
Missouri Valley Tournament,2022,"Missouri State'sÿHammons FieldÿinÿSpringfield, Missouri."
Missouri Valley Tournament,2021,"ÿSouthern Illinois University'sÿItchy Jones StadiumÿinÿCarbondale, Illinois."
MISSOURI VALLEY TOURNAMENT,2019,Duffy Bass Field Normal IL
MISSOURI VALLEY TOURNAMENT ,2018,"Horner Ballpark , Dallas TX"
MISSOURI VALLEY TOURNAMENT ,2017,"Missouri State's Hammons Field in Springfield, Missouri"
MOUNTAIN WEST CHAMPIONSHIP,2019,"William Peccole Park in Reno, Nevada"
Mountain West Championship,2022,"Tony Gwynn Stadium in San Diego, California."
MOUNTAIN WEST CHAMPIONSHIP ,2017,"Santa Ana Star Field in Albuquerque, New Mexico"
MOUNTAIN WEST CHAMPIONSHIP ,2016,"Santa Ana Star Field in Albuquerque, New Mexico"
MOUNTAIN WEST TOURNAMENT,2019,"William Peccole Park in Reno, Nevada"
Mountain West Tournament,2022,"Tony Gwynn Stadium in San Diego, California."
MOUNTAIN WEST TOURNAMENT ,2017,"Santa Ana Star Field in Albuquerque, New Mexico"
MOUNTAIN WEST TOURNAMENT ,2018,"Tony Gwynn Stadium in San Diego, California."
Music City College Classic,2022,0
Nebraska vs Kansas State,2022,0
Nebraska vs Sam Houston,2022,0
NEC CHAMPIONSHIP,2019,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC Championship,2021,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC Championship,2022,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC CHAMPIONSHIP ,2016,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC CHAMPIONSHIP ,2017,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC Tournament,2022,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC TOURNAMENT,2019,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC Tournament,2021,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC TOURNAMENT ,2018,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC TOURNAMENT ,2016,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
NEC TOURNAMENT ,2017,"Senator Thomas J. Dodd Memorial Stadium in Norwich, Connecticut."
New Mexico vs Kansas State,2021,0
