date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation,weather_data
2016-03-25,TCU,Texas,,0.0,4.0,0.0,2.0,5.0,0.0,,,UFCU Disch–Falk Field,Austin,TX,Texas,Big 12,7373,1975,[14],30.2799584,-97.7261606,176.8224334716797,"{'lat': 30.2799584, 'lon': -97.7261606, 'tz': '-05:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 41.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 42.31, 'max': 71.8, 'afternoon': 62.56, 'night': 48.94, 'evening': 70.92, 'morning': 42.46}, 'pressure': {'afternoon': 1017.0}, 'wind': {'max': {'speed': 9.17, 'direction': 160.0}}}"
2016-03-25,South Carolina,Ole Miss,,9.0,14.0,0.0,5.0,7.0,3.0,,,,,,,,,,,,,,failed
2016-03-25,Oklahoma State,Kansas State,,5.0,6.0,1.0,4.0,8.0,0.0,,,Tointon Family Stadium,Manhattan,KS,Kansas State,Big 12,2331,1961,,39.1992239,-96.5969735,340.9178161621094,"{'lat': 39.1992239, 'lon': -96.5969735, 'tz': '-05:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 20.0}, 'humidity': {'afternoon': 31.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 23.36, 'max': 61.74, 'afternoon': 53.73, 'night': 30.56, 'evening': 60.37, 'morning': 23.52}, 'pressure': {'afternoon': 1014.0}, 'wind': {'max': {'speed': 17.22, 'direction': 150.0}}}"
2016-03-25,Tennessee,Alabama,,3.0,9.0,1.0,7.0,11.0,1.0,,,Sewell–Thomas Stadium,Tuscaloosa,AL,Alabama,Southeastern,8500,"1948closed 2015, rebuilt 2016",,33.2048713,-87.53862099999999,65.01921081542969,"{'lat': 33.2048713, 'lon': -87.53862099999999, 'tz': '-05:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 57.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 46.24, 'max': 67.19, 'afternoon': 59.34, 'night': 57.45, 'evening': 66.07, 'morning': 47.3}, 'pressure': {'afternoon': 1016.0}, 'wind': {'max': {'speed': 8.05, 'direction': 320.0}}}"
2016-03-25,UCLA,Arizona,,4.0,9.0,2.0,3.0,6.0,3.0,,,Hi Corbett Field,Tucson,AZ,Arizona,Pac-12,9500,1927,,32.2129525,-110.9197125,758.5875244140625,"{'lat': 32.2129525, 'lon': -110.9197125, 'tz': '-07:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 10.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 45.77, 'max': 78.3, 'afternoon': 71.85, 'night': 54.95, 'evening': 76.8, 'morning': 45.77}, 'pressure': {'afternoon': 1012.0}, 'wind': {'max': {'speed': 13.87, 'direction': 310.0}}}"
2016-03-25,UAB,Florida Atlantic,,3.0,7.0,1.0,7.0,7.0,0.0,,,FAU Baseball Stadium,Boca Raton,FL,Florida Atlantic,The American,2000,1991,,26.3702709,-80.1095751,3.560908317565918,"{'lat': 26.3702709, 'lon': -80.1095751, 'tz': '-04:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 83.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 75.43, 'max': 82.02, 'afternoon': 80.26, 'night': 76.01, 'evening': 76.44, 'morning': 75.92}, 'pressure': {'afternoon': 1017.0}, 'wind': {'max': {'speed': 16.11, 'direction': 60.0}}}"
2016-03-25,Loyola Marymount,BYU,,10.0,8.0,0.0,5.0,12.0,1.0,,,Larry H. Miller Field,Provo,UT,BYU,Big 12,2710,2001,,40.2547328,-111.6513737,1420.372924804688,"{'lat': 40.2547328, 'lon': -111.6513737, 'tz': '-06:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 38.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 34.52, 'max': 44.28, 'afternoon': 40.5, 'night': 43.27, 'evening': 41.67, 'morning': 37.62}, 'pressure': {'afternoon': 1016.0}, 'wind': {'max': {'speed': 20.8, 'direction': 340.0}}}"
2016-03-25,Virginia,Louisville,,6.0,9.0,1.0,3.0,6.0,0.0,,,Jim Patterson Stadium,Louisville,KY,Louisville,Atlantic Coast,4000,2005,,38.2055156,-85.7628651,140.28662109375,"{'lat': 38.2055156, 'lon': -85.7628651, 'tz': '-04:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 90.0}, 'humidity': {'afternoon': 67.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 39.9, 'max': 50.05, 'afternoon': 41.4, 'night': 50.05, 'evening': 46.02, 'morning': 40.84}, 'pressure': {'afternoon': 1018.0}, 'wind': {'max': {'speed': 19.69, 'direction': 290.0}}}"
2016-03-25,Florida,Kentucky,,12.0,10.0,1.0,5.0,6.0,2.0,,,Kentucky Proud Park,Lexington,KY,Kentucky,Southeastern,5000,2018,[36],38.0186731,-84.5035386,315.91455078125,"{'lat': 38.0186731, 'lon': -84.5035386, 'tz': '-04:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 90.0}, 'humidity': {'afternoon': 82.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 39.49, 'max': 54.07, 'afternoon': 40.96, 'night': 54.07, 'evening': 43.25, 'morning': 43.63}, 'pressure': {'afternoon': 1017.0}, 'wind': {'max': {'speed': 14.99, 'direction': 290.0}}}"
2016-03-25,Clemson,Miami,,8.0,10.0,4.0,9.0,14.0,1.0,,,,,,,,,,,,,,failed
