game_info,year,date,away_team,home_team,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,venue,n_venue,team,latitude,longitude,elevation
CONFERENCE USA TOURNAMENT ,2017,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
CONFERENCE USA TOURNAMENT ,2018,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0
COX DIAMOND INVITATIONAL ,2016,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
CSU Fullerton vs UC Irvine,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Cambria College Classic,2022,7,7,7,7,7,7,7,7,7,7,0,7,0,0,0
Campbell vs Liberty,2022,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Canisius vs Liberty,2022,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Caravelle Resort Tournament ,2016,6,6,6,6,6,6,6,6,6,6,0,6,0,0,0
Central Connecticut vs Kansas State,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Coastal Carolina Tournament,2019,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Coastal Carolina Tournament,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Coastal Carolina Tournament ,2016,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Coastal Carolina vs Texas State,2022,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Coastal Carolina vs West Virginia,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Columbia vs Baylor,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Conference USA Championship,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Conference USA Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Conference USA Tournament,2021,13,13,13,13,13,13,13,13,13,13,0,13,0,0,0
Conference USA Tournament,2022,13,13,13,13,13,13,13,13,13,13,0,13,0,0,0
Creighton vs Kansas,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
East Carolina vs Campbell,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
East Carolina vs Cincinnati,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
East Carolina vs Georgia Southern,2021,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Evansville vs Tulane,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
FRISCO CLASSIC,2019,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
First Pitch Invitational,2022,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0
Frisco College Baseball Classic,2021,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0
Frisco College Baseball Classic,2022,6,6,6,6,6,6,6,6,6,6,0,6,0,0,0
Game will restart in the top of the 9th at 1230pm ,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Gonzaga vs TCU,2021,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Grand Canyon Classic ,2016,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
HORIZON LEAGUE CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
HORIZON LEAGUE CHAMPIONSHIP ,2017,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
HORIZON LEAGUE CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
HORIZON LEAGUE TOURNAMENT,2019,7,7,7,7,7,7,7,7,7,7,0,3,0,0,0
HORIZON LEAGUE TOURNAMENT ,2017,7,7,7,7,7,7,7,7,7,7,0,3,0,0,0
HORIZON LEAGUE TOURNAMENT ,2018,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
Horizon League Championship,2021,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Horizon League Championship,2022,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Horizon League Tournament,2021,5,5,5,5,5,5,5,5,5,5,0,3,0,0,0
Horizon League Tournament,2022,7,7,7,7,7,7,7,7,7,7,0,2,0,0,0
Houston Baptist vs Baylor,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Houston Baptist vs Sacramento State,2022,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
IVY LEAGUE CHAMPIONSHIP SERIES,2018,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
IVY LEAGUE CHAMPIONSHIP SERIES ,2016,3,3,3,3,3,3,3,3,3,3,0,2,0,0,0
IVY LEAGUE CHAMPIONSHIP SERIES ,2017,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
IVY LEAGUE CHAMPIONSHIP SERIES ,2018,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
